"GenusSpecies","Family","Mean_Nitrogen","Mean_Carbon","Mean_Leaf_Mass_Per_Area","Mean_Water_Content"
"Elegia filacea","Restionaceae",7.94972338833333,454.338557266667,390.55218125,59.5509360770811
"Berzelia lanuginosa","Bruniaceae",8.66194443111111,524.937240233333,198.094136756757,51.3092676731156
"Erica subdivaricata","Ericaceae",6.4,547,168.949538,54.3194420667673
"Cliffortia ruscifolia","Rosaceae",9.14620196,512.290906533333,171.470389230769,47.1834413555613
"Restio gaudichaudianus","Restionaceae",NA,NA,NA,NA
"Adenandra villosa","Rutaceae",8.13857361666667,487.9482009,157.006151,59.5958967319297
"Passerina corymbosa","Thymelaeaceae",NA,NA,NA,NA
"Erica baccans","Ericaceae",NA,NA,NA,NA
"Tetraria ustulata","Cyperaceae",6.298814035,458.56008565,328.518275,48.450058699541
"Lobostemon glaucophyllus","Boraginaceae",10.40161816,435.0829346,196.843668,75.4272314330512
"Erica hispidula","Ericaceae",7.900755476,532.00664422,139.712877368421,49.4107769237865
"Erica ericoides","Ericaceae",4.948381925,512.89128055,184.383468,50.5190327942125
"Restio cincinnatus","Restionaceae",NA,NA,NA,NA
"Elegia juncea","Restionaceae",4.5264744825,445.400502125,743.290468,67.8340442295613
"Tetraria compar","Cyperaceae",5.68728947222222,453.9973565,387.080142727273,55.475296622351
"Watsonia borbonica","Iridaceae",12.4,428.7,303.438135,65.0939832327829
"Willdenowia glomerata","Restionaceae",5.219479575,477.86785895,908.409450588235,44.9240008386819
"Leucadendron salignum","Proteaceae",4.60329977,508.895271030769,239.645433333333,53.9942345990242
"Leucospermum conocarpodendron","Proteaceae",6.2,516,239.959973333333,67.5421201249928
"Penaea mucronata","Penaeaceae",6.20459805,462.240244666667,196.132211666667,56.5304764811503
"Leucadendron xanthoconus","Proteaceae",5.23970065666667,483.329083066667,179.714295454545,57.7524904196129
"Restio triticeus","Restionaceae",5.058652012,464.66999074,693.881159444445,42.209968679964
"Elytropappus scaber","Asteraceae",11.17900788,480.17792405,164.374091764706,36.4002784259201
"Metalasia densa","Asteraceae",6.92498698,454.266950333333,221.086701333333,47.6730203006396
"Cliffortia falcata","Rosaceae",10.7,501.6,169.19689,51.0563190795358
"Restio capensis","Restionaceae",NA,NA,NA,NA
"Olea capensis","Oleaceae",9.57190604,490.2879481,250.524848,53.153785574506
"Pseudopentameris macrantha","Poaceae",6.849254175,461.43408425,464.0463075,41.7488442094513
"Corymbium africanum","Asteraceae",4.93003431,495.34263104,412.017634444444,47.0100604737253
"Elegia mucronata","Restionaceae",NA,NA,NA,NA
"Anthochortus crinalis","Restionaceae",5.04428084,468.8656625,225.703714,46.6735515562761
"Metalasia muricata","Asteraceae",7.69704102,452.9897756,229.147335454545,54.9769451820732
"Leucadendron coniferum","Proteaceae",5.4,494.7,226.599635,63.6880385470948
"Passerina paleacea","Thymelaeaceae",9.8972888,522.2073136,209.580096,47.9639286030366
"Helichrysum patulum","Asteraceae",17.3706552666667,436.161991033333,67.4576141666667,72.0484849571206
"Carpobrotus acinaciformis","Aizoaceae",4.96087478333333,356.305001433333,930.026338333333,82.9844129327084
"Protea repens","Proteaceae",6.37085968714286,518.672065557143,311.660278,53.6369789353487
"Thamnochortus lucens","Restionaceae",3.279613494,477.41700564,555.041008888889,42.5528956573561
"Thamnochortus fraternus","Restionaceae",NA,NA,NA,NA
"Erica coarctata","Ericaceae",5.4,550.4,294.062986,47.2544999586364
"Euclea racemosa","Ebenaceae",6.95641228666667,462.466468166667,264.654814,57.4538525976627
"Aspalathus carnosa","Fabaceae",14.1,504.7,233.879143333333,74.2128785084615
"Amphithalea ericifolia","Fabaceae",16.3,512.9,161.313971666667,44.808854823345
"Leucadendron laureolum","Proteaceae",4.49436025818182,491.026932336364,201.168075135135,64.2972790412553
"Erica labialis","Ericaceae",4.715435064,522.01616956,174.105206666667,52.2229263814258
"Staberoha banksii","Restionaceae",4.9,503.2,652.856195,47.4263885480547
"Diastella divaricata","Proteaceae",5.7,511.9,128.097628333333,70.2884738039604
"Agathosma serpyllacea","Rutaceae",6.7,504.6,216.824216666667,57.5796640574038
"Stoebe cinerea","Asteraceae",11.08141254,486.8158498,147.534769,51.7116576527748
"Aspalathus ericifolia","Fabaceae",9.8,521.4,179.303986666667,54.512163139176
"Muraltia heisteria","Polygalaceae",9.567286435,514.4952142,290.911233,53.7667083961416
"Searsia lucida","Anacardiaceae",NA,NA,NA,NA
"Erica subcapitata","Ericaceae",6.7,538.4,140.838894,56.1186538788228
"Staberoha cernua","Restionaceae",3.595123825,486.2751398,482.824063125,46.0660748163292
"Erica glabella","Ericaceae",5.7,527.8,193.45812,43.1004264515625
"Protea lepidocarpodendron","Proteaceae",6.67655700666667,544.4659667,259.085749090909,55.7996284040845
"Bobartia indica","Iridaceae",5.234019388,487.77137898,909.247727142857,55.6243216805655
"Anthospermum aethiopicum","Rubiaceae",14.0004663518182,490.533613409091,107.882294878049,66.6041427858434
"Tetraria bromoides","Cyperaceae",7.15367957,460.887054866667,394.046493076923,51.2980646742753
"Brunia noduliflora","Bruniaceae",NA,NA,NA,NA
"Erica capensis","Ericaceae",8.7,526.8,163.827914,52.4759490952004
"Elegia cuspidata","Restionaceae",2.3,445.1,1142.274363,70.5823071915895
"Erica clavisepala","Ericaceae",8,498.9,180.2338,49.6936516251641
"Erica muscosa","Ericaceae",8.31559236,532.417535733333,160.612090909091,45.1867230392977
"Hypodiscus aristatus","Restionaceae",5.73333287142857,474.830486042857,587.907467826087,60.6555124458818
"Mastersiella digitata","Restionaceae",3.64347564,461.9374544,386.405938,61.5959000189476
"Aristea capitata","Iridaceae",NA,NA,NA,NA
"Aspalathus hispida","Fabaceae",11.2,508.3,212.27231,45.5668737760119
"Cliffortia polygonifolia","Rosaceae",12.8,478.9,127.32210875,57.2527677739428
"Leucadendron argenteum","Proteaceae",NA,NA,NA,NA
"Pelargonium cucullatum","Geraniaceae",19.83768666,428.944640766667,90.80775,78.7849574585611
"Argyrolobium lunare","Fabaceae",NA,NA,NA,NA
"Ficinia oligantha","Cyperaceae",9.71946384166667,469.17956645,222.527752916667,58.3017757195991
"Osteospermum moniliferum","Asteraceae",NA,NA,NA,NA
"Serruria villosa","Proteaceae",5.9,496.2,177.572503,66.8443503069297
"Trichocephalus stipularis","Polygalaceae",7.39370612,541.70447925,326.759861333333,45.0447178614266
"Trichocephalus stipularis","Rhamnaceae",7.39370612,541.70447925,326.759861333333,45.0447178614266
"Restio saroclados","Restionaceae",NA,NA,NA,NA
"Elegia ebracteata","Restionaceae",NA,NA,NA,NA
"Restio pedicellatus","Restionaceae",NA,NA,NA,NA
"Thamnochortus nutans","Restionaceae",NA,NA,NA,NA
"Searsia glauca","Anacardiaceae",NA,NA,NA,NA
"Erica abietina","Ericaceae",10.15,531.15,238.341967272727,52.4835818231572
"Ruschia sarmentosa","Aizoaceae",13.7,418.9,338.105143333333,88.6894243380546
